Id,over_draft,credit_usage,credit_history,purpose,current_balance,Average_Credit_Balance,employment,location,personal_status,other_parties,residence_since,property_magnitude,cc_age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
180,<0,21,critical/other_existing_credit,new_car,571,<100,>=7,4,male_single,none,4,real_estate,65,none,own,2,skilled,1,none,yes,good
181,no_checking,36,delayed_previously,business,9572,<100,<1,1,male_div/sep,none,1,car,28,none,own,2,skilled,1,none,yes,bad
182,0<=X<200,36,delayed_previously,business,4455,<100,1<=X<4,2,male_div/sep,none,2,real_estate,30,stores,own,2,high_qualif/self_emp/mgmt,1,yes,yes,bad
183,<0,21,all_paid,new_car,1647,no_known_savings,1<=X<4,4,male_single,none,2,life_insurance,40,none,own,2,unskilled_resident,2,none,yes,bad
184,no_checking,24,critical/other_existing_credit,furniture/equipment,3777,>=1000,1<=X<4,4,male_single,none,4,real_estate,50,none,own,1,skilled,1,yes,yes,good
185,0<=X<200,18,critical/other_existing_credit,new_car,884,<100,>=7,4,male_single,none,4,car,36,bank,own,1,skilled,2,yes,yes,bad
186,no_checking,15,critical/other_existing_credit,radio/tv,1360,<100,1<=X<4,4,male_single,none,2,life_insurance,31,none,own,2,skilled,1,none,yes,good
187,0<=X<200,9,all_paid,used_car,5129,<100,>=7,2,female_div/dep/mar,none,4,no_known_property,74,bank,for_free,1,high_qualif/self_emp/mgmt,2,yes,yes,bad
188,0<=X<200,16,critical/other_existing_credit,new_car,1175,<100,unemployed,2,male_single,none,3,car,68,none,for_free,3,unemp/unskilled_non_res,1,yes,yes,good
189,<0,12,existing_paid,radio/tv,674,100<=X<500,4<=X<7,4,male_mar/wid,none,1,life_insurance,20,none,own,1,skilled,1,none,yes,bad
190,0<=X<200,18,no_credits/all_paid,furniture/equipment,3244,<100,1<=X<4,1,female_div/dep/mar,none,4,car,33,bank,own,2,skilled,1,yes,yes,good
191,no_checking,24,existing_paid,business,4591,>=1000,1<=X<4,2,male_single,none,3,life_insurance,54,none,own,3,high_qualif/self_emp/mgmt,1,yes,yes,bad
192,0<=X<200,48,no_credits/all_paid,business,3844,100<=X<500,4<=X<7,4,male_single,none,4,no_known_property,34,none,for_free,1,unskilled_resident,2,none,yes,bad
193,0<=X<200,27,existing_paid,business,3915,<100,1<=X<4,4,male_single,none,2,car,36,none,own,1,skilled,2,yes,yes,bad
194,no_checking,6,existing_paid,radio/tv,2108,<100,4<=X<7,2,male_mar/wid,none,2,real_estate,29,none,rent,1,skilled,1,none,yes,good
195,0<=X<200,45,existing_paid,radio/tv,3031,100<=X<500,1<=X<4,4,male_single,guarantor,4,life_insurance,21,none,rent,1,skilled,1,none,yes,bad
196,0<=X<200,9,critical/other_existing_credit,education,1501,<100,>=7,2,female_div/dep/mar,none,3,car,34,none,own,2,high_qualif/self_emp/mgmt,1,yes,yes,bad
197,no_checking,6,critical/other_existing_credit,radio/tv,1382,<100,1<=X<4,1,female_div/dep/mar,none,1,car,28,none,own,2,skilled,1,yes,yes,good
198,0<=X<200,12,existing_paid,furniture/equipment,951,100<=X<500,<1,4,female_div/dep/mar,none,4,car,27,bank,rent,4,skilled,1,none,yes,bad
199,0<=X<200,24,existing_paid,used_car,2760,no_known_savings,>=7,4,male_single,none,4,no_known_property,36,bank,for_free,1,skilled,1,yes,yes,good
200,0<=X<200,18,delayed_previously,furniture/equipment,4297,<100,>=7,4,male_div/sep,none,3,no_known_property,40,none,own,1,high_qualif/self_emp/mgmt,1,yes,yes,bad
201,no_checking,9,critical/other_existing_credit,education,936,500<=X<1000,>=7,4,male_single,none,2,car,52,none,own,2,skilled,1,yes,yes,good
202,<0,12,existing_paid,new_car,1168,<100,1<=X<4,4,male_mar/wid,none,3,real_estate,27,none,own,1,unskilled_resident,1,none,yes,good
203,no_checking,27,delayed_previously,business,5117,<100,4<=X<7,3,male_single,none,4,car,26,none,own,2,skilled,1,none,yes,good
204,<0,12,existing_paid,retraining,902,<100,4<=X<7,4,male_mar/wid,none,4,life_insurance,21,none,rent,1,skilled,1,none,yes,bad
205,no_checking,12,critical/other_existing_credit,new_car,1495,<100,>=7,4,male_single,none,1,real_estate,38,none,own,2,unskilled_resident,2,none,yes,good
206,<0,30,critical/other_existing_credit,used_car,10623,<100,>=7,3,male_single,none,4,no_known_property,38,none,for_free,3,high_qualif/self_emp/mgmt,2,yes,yes,good
207,no_checking,12,critical/other_existing_credit,furniture/equipment,1935,<100,>=7,4,male_single,none,4,real_estate,43,none,own,3,skilled,1,yes,yes,good
208,0<=X<200,12,critical/other_existing_credit,domestic_appliance,1424,<100,4<=X<7,4,male_single,none,3,life_insurance,26,none,own,1,skilled,1,none,yes,good
209,<0,24,existing_paid,business,6568,<100,1<=X<4,2,male_mar/wid,none,2,car,21,stores,own,1,unskilled_resident,1,none,yes,good
210,no_checking,12,existing_paid,used_car,1413,>=1000,4<=X<7,3,male_single,none,2,life_insurance,55,none,own,1,skilled,1,none,no,good
211,no_checking,9,critical/other_existing_credit,radio/tv,3074,no_known_savings,1<=X<4,1,male_single,none,2,real_estate,33,none,own,2,skilled,2,none,yes,good
212,no_checking,36,existing_paid,radio/tv,3835,no_known_savings,>=7,2,female_div/dep/mar,none,4,real_estate,45,none,own,1,unskilled_resident,1,yes,yes,good
213,<0,27,no_credits/all_paid,business,5293,<100,unemployed,2,male_single,none,4,life_insurance,50,stores,own,2,skilled,1,yes,yes,bad
214,>=200,30,delayed_previously,business,1908,<100,>=7,4,male_single,none,4,real_estate,66,none,own,1,high_qualif/self_emp/mgmt,1,yes,yes,bad
215,no_checking,36,critical/other_existing_credit,radio/tv,3342,no_known_savings,>=7,4,male_single,none,2,car,51,none,own,1,skilled,1,yes,yes,good
216,0<=X<200,6,critical/other_existing_credit,retraining,932,no_known_savings,4<=X<7,1,female_div/dep/mar,none,3,life_insurance,39,none,own,2,unskilled_resident,1,none,yes,good
217,<0,18,no_credits/all_paid,business,3104,<100,4<=X<7,3,male_single,none,1,life_insurance,31,bank,own,1,skilled,1,yes,yes,good
218,>=200,36,existing_paid,radio/tv,3913,<100,1<=X<4,2,male_single,none,2,real_estate,23,none,own,1,skilled,1,yes,yes,good
219,<0,24,existing_paid,furniture/equipment,3021,<100,1<=X<4,2,male_div/sep,none,2,real_estate,24,none,rent,1,unskilled_resident,1,none,yes,good
220,no_checking,10,existing_paid,new_car,1364,<100,1<=X<4,2,female_div/dep/mar,none,4,car,64,none,own,1,skilled,1,yes,yes,good
221,0<=X<200,12,existing_paid,radio/tv,625,<100,<1,4,male_mar/wid,guarantor,1,real_estate,26,bank,own,1,unskilled_resident,1,none,yes,good
222,<0,12,existing_paid,education,1200,no_known_savings,1<=X<4,4,female_div/dep/mar,none,4,life_insurance,23,bank,rent,1,skilled,1,yes,yes,good
223,no_checking,12,existing_paid,radio/tv,707,<100,1<=X<4,4,male_single,none,2,real_estate,30,bank,own,2,skilled,1,none,yes,good
224,no_checking,24,delayed_previously,business,2978,no_known_savings,1<=X<4,4,male_single,none,4,real_estate,32,none,own,2,skilled,2,yes,yes,good
225,no_checking,15,existing_paid,used_car,4657,<100,1<=X<4,3,male_single,none,2,car,30,none,own,1,skilled,1,yes,yes,good
226,no_checking,36,no_credits/all_paid,repairs,2613,<100,1<=X<4,4,male_single,none,2,car,27,none,own,2,skilled,1,none,yes,good
227,0<=X<200,48,existing_paid,radio/tv,10961,>=1000,4<=X<7,1,male_single,co_applicant,2,no_known_property,27,bank,own,2,skilled,1,yes,yes,bad
228,<0,12,existing_paid,furniture/equipment,7865,<100,>=7,4,male_single,none,4,no_known_property,53,none,for_free,1,high_qualif/self_emp/mgmt,1,yes,yes,bad
229,no_checking,9,existing_paid,radio/tv,1478,<100,4<=X<7,4,male_single,none,2,car,22,none,own,1,skilled,1,none,yes,bad
230,<0,24,existing_paid,furniture/equipment,3149,<100,<1,4,male_single,none,1,no_known_property,22,bank,for_free,1,skilled,1,none,yes,good
231,>=200,36,existing_paid,radio/tv,4210,<100,1<=X<4,4,male_single,none,2,car,26,none,own,1,skilled,1,none,yes,bad
232,no_checking,9,existing_paid,new_car,2507,500<=X<1000,>=7,2,male_single,none,4,no_known_property,51,none,for_free,1,unskilled_resident,1,none,yes,good
233,no_checking,12,existing_paid,radio/tv,2141,100<=X<500,4<=X<7,3,male_single,none,1,no_known_property,35,none,own,1,skilled,1,none,yes,good
234,0<=X<200,18,existing_paid,radio/tv,866,<100,1<=X<4,4,male_mar/wid,guarantor,2,real_estate,25,none,own,1,unskilled_resident,1,none,yes,good
235,no_checking,4,critical/other_existing_credit,radio/tv,1544,<100,4<=X<7,2,male_single,none,1,real_estate,42,none,own,3,unskilled_resident,2,none,yes,good
236,<0,24,existing_paid,radio/tv,1823,<100,unemployed,4,male_single,none,2,car,30,stores,own,1,high_qualif/self_emp/mgmt,2,none,yes,bad
237,0<=X<200,6,existing_paid,new_car,14555,no_known_savings,unemployed,1,male_single,none,2,life_insurance,23,none,own,1,unemp/unskilled_non_res,1,yes,yes,bad
238,0<=X<200,21,existing_paid,business,2767,100<=X<500,>=7,4,male_div/sep,none,2,car,61,bank,rent,2,unskilled_resident,1,none,yes,bad
239,no_checking,12,critical/other_existing_credit,radio/tv,1291,<100,1<=X<4,4,female_div/dep/mar,none,2,life_insurance,35,none,own,2,skilled,1,none,yes,good
240,<0,30,existing_paid,radio/tv,2522,<100,>=7,1,male_single,guarantor,3,life_insurance,39,none,own,1,skilled,2,none,yes,good
241,<0,24,existing_paid,new_car,915,no_known_savings,>=7,4,female_div/dep/mar,none,2,car,29,bank,own,1,skilled,1,none,yes,bad
242,no_checking,6,existing_paid,radio/tv,1595,<100,4<=X<7,3,male_single,none,2,life_insurance,51,none,own,1,skilled,2,none,yes,good
243,<0,48,no_credits/all_paid,used_car,4605,<100,>=7,3,male_single,none,4,no_known_property,24,none,for_free,2,skilled,2,none,yes,bad
244,no_checking,12,critical/other_existing_credit,business,1185,<100,1<=X<4,3,female_div/dep/mar,none,2,real_estate,27,none,own,2,skilled,1,none,yes,good
245,no_checking,12,all_paid,retraining,3447,500<=X<1000,1<=X<4,4,female_div/dep/mar,none,3,real_estate,35,none,own,1,unskilled_resident,2,none,yes,good
246,no_checking,24,existing_paid,business,1258,<100,4<=X<7,4,male_single,none,1,real_estate,25,none,own,1,skilled,1,yes,yes,good
247,no_checking,12,critical/other_existing_credit,radio/tv,717,<100,>=7,4,male_single,none,4,real_estate,52,none,own,3,skilled,1,none,yes,good
248,no_checking,6,no_credits/all_paid,new_car,1204,100<=X<500,1<=X<4,4,male_single,none,1,no_known_property,35,bank,rent,1,skilled,1,none,no,good
249,>=200,24,existing_paid,furniture/equipment,1925,<100,1<=X<4,2,male_single,none,2,real_estate,26,none,own,1,skilled,1,none,yes,good
250,no_checking,18,existing_paid,radio/tv,433,<100,unemployed,3,female_div/dep/mar,co_applicant,4,real_estate,22,none,rent,1,skilled,1,none,yes,bad
251,<0,6,critical/other_existing_credit,new_car,666,>=1000,4<=X<7,3,female_div/dep/mar,none,4,real_estate,39,none,own,2,unskilled_resident,1,yes,yes,good
252,>=200,12,existing_paid,furniture/equipment,2251,<100,1<=X<4,1,female_div/dep/mar,none,2,car,46,none,own,1,unskilled_resident,1,none,yes,good
253,0<=X<200,30,existing_paid,new_car,2150,<100,1<=X<4,4,female_div/dep/mar,guarantor,2,no_known_property,24,bank,own,1,skilled,1,none,yes,bad
254,no_checking,24,delayed_previously,furniture/equipment,4151,100<=X<500,1<=X<4,2,male_single,none,3,life_insurance,35,none,own,2,skilled,1,none,yes,good
255,0<=X<200,9,existing_paid,furniture/equipment,2030,no_known_savings,4<=X<7,2,male_single,none,1,car,24,none,own,1,skilled,1,yes,yes,good
256,0<=X<200,60,delayed_previously,radio/tv,7418,no_known_savings,1<=X<4,1,male_single,none,1,real_estate,27,none,own,1,unskilled_resident,1,none,yes,good
257,no_checking,24,critical/other_existing_credit,radio/tv,2684,<100,1<=X<4,4,male_single,none,2,real_estate,35,none,own,2,unskilled_resident,1,none,yes,good
258,<0,12,all_paid,radio/tv,2149,<100,1<=X<4,4,male_div/sep,none,1,no_known_property,29,none,for_free,1,skilled,1,none,yes,bad
259,no_checking,15,existing_paid,used_car,3812,100<=X<500,<1,1,female_div/dep/mar,none,4,car,23,none,own,1,skilled,1,yes,yes,good
260,no_checking,11,critical/other_existing_credit,radio/tv,1154,100<=X<500,unemployed,4,female_div/dep/mar,none,4,real_estate,57,none,own,3,unskilled_resident,1,none,yes,good
261,<0,12,existing_paid,furniture/equipment,1657,<100,1<=X<4,2,male_single,none,2,real_estate,27,none,own,1,skilled,1,none,yes,good
262,<0,24,existing_paid,radio/tv,1603,<100,>=7,4,female_div/dep/mar,none,4,car,55,none,own,1,skilled,1,none,yes,good
263,<0,18,critical/other_existing_credit,new_car,5302,<100,>=7,2,male_single,none,4,no_known_property,36,none,for_free,3,high_qualif/self_emp/mgmt,1,yes,yes,good
264,no_checking,12,critical/other_existing_credit,education,2748,<100,>=7,2,female_div/dep/mar,none,4,no_known_property,57,bank,for_free,3,unskilled_resident,1,none,yes,good
265,no_checking,10,critical/other_existing_credit,new_car,1231,<100,>=7,3,male_single,none,4,real_estate,32,none,own,2,unskilled_resident,2,none,no,good
266,0<=X<200,15,existing_paid,radio/tv,802,<100,>=7,4,male_single,none,3,car,37,none,own,1,skilled,2,none,yes,bad
267,no_checking,36,critical/other_existing_credit,business,6304,no_known_savings,>=7,4,male_single,none,4,real_estate,36,none,own,2,skilled,1,none,yes,good
268,no_checking,24,existing_paid,radio/tv,1533,<100,<1,4,female_div/dep/mar,none,3,car,38,stores,own,1,skilled,1,yes,yes,good
269,<0,14,existing_paid,new_car,8978,<100,>=7,1,male_div/sep,none,4,life_insurance,45,none,own,1,high_qualif/self_emp/mgmt,1,yes,no,bad
270,no_checking,24,existing_paid,radio/tv,999,no_known_savings,>=7,4,male_single,none,2,car,25,none,own,2,skilled,1,none,yes,good
271,no_checking,18,existing_paid,new_car,2662,no_known_savings,4<=X<7,4,male_single,none,3,life_insurance,32,none,own,1,skilled,1,none,no,good
272,no_checking,12,critical/other_existing_credit,furniture/equipment,1402,500<=X<1000,4<=X<7,3,female_div/dep/mar,none,4,car,37,none,rent,1,skilled,1,yes,yes,good
273,0<=X<200,48,all_paid,new_car,12169,no_known_savings,unemployed,4,male_single,co_applicant,4,no_known_property,36,none,for_free,1,high_qualif/self_emp/mgmt,1,yes,yes,good
274,0<=X<200,48,existing_paid,radio/tv,3060,<100,4<=X<7,4,male_single,none,4,real_estate,28,none,own,2,skilled,1,none,yes,bad
275,<0,30,existing_paid,repairs,11998,<100,<1,1,male_div/sep,none,1,no_known_property,34,none,own,1,unskilled_resident,1,yes,yes,bad
276,no_checking,9,existing_paid,radio/tv,2697,<100,1<=X<4,1,male_single,none,2,real_estate,32,none,own,1,skilled,2,none,yes,good
277,no_checking,18,critical/other_existing_credit,radio/tv,2404,<100,1<=X<4,2,female_div/dep/mar,none,2,car,26,none,own,2,skilled,1,none,yes,good
278,<0,12,existing_paid,furniture/equipment,1262,no_known_savings,>=7,2,male_div/sep,none,4,life_insurance,49,none,own,1,unskilled_resident,1,yes,yes,good
279,no_checking,6,existing_paid,furniture/equipment,4611,<100,<1,1,female_div/dep/mar,none,4,life_insurance,32,none,own,1,skilled,1,none,yes,bad
280,no_checking,24,existing_paid,radio/tv,1901,100<=X<500,1<=X<4,4,male_single,none,4,car,29,none,rent,1,high_qualif/self_emp/mgmt,1,yes,yes,good
281,no_checking,15,critical/other_existing_credit,used_car,3368,>=1000,>=7,3,male_single,none,4,no_known_property,23,none,rent,2,skilled,1,yes,yes,good
282,no_checking,12,existing_paid,furniture/equipment,1574,<100,1<=X<4,4,male_single,none,2,real_estate,50,none,own,1,skilled,1,none,yes,good
283,>=200,18,all_paid,radio/tv,1445,no_known_savings,4<=X<7,4,male_single,none,4,car,49,bank,own,1,unskilled_resident,1,none,yes,good
284,no_checking,15,critical/other_existing_credit,furniture/equipment,1520,no_known_savings,>=7,4,male_single,none,4,life_insurance,63,none,own,1,skilled,1,none,yes,good
285,0<=X<200,24,critical/other_existing_credit,new_car,3878,100<=X<500,<1,4,male_div/sep,none,2,car,37,none,own,1,skilled,1,yes,yes,good
286,<0,47,existing_paid,new_car,10722,<100,<1,1,female_div/dep/mar,none,1,real_estate,35,none,own,1,unskilled_resident,1,yes,yes,good
287,<0,48,existing_paid,used_car,4788,<100,4<=X<7,4,male_single,none,3,life_insurance,26,none,own,1,skilled,2,none,yes,good
288,0<=X<200,48,delayed_previously,other,7582,100<=X<500,unemployed,2,male_single,none,4,no_known_property,31,none,for_free,1,high_qualif/self_emp/mgmt,1,yes,yes,good
289,0<=X<200,12,existing_paid,radio/tv,1092,<100,1<=X<4,4,female_div/dep/mar,guarantor,4,real_estate,49,none,own,2,skilled,1,yes,yes,good
290,<0,24,delayed_previously,radio/tv,1024,<100,<1,4,male_mar/wid,none,4,real_estate,48,stores,own,1,skilled,1,none,yes,bad
291,no_checking,12,existing_paid,business,1076,<100,1<=X<4,2,male_mar/wid,none,2,real_estate,26,none,own,1,skilled,1,yes,no,good
292,0<=X<200,36,existing_paid,used_car,9398,<100,<1,1,male_mar/wid,none,4,car,28,none,rent,1,high_qualif/self_emp/mgmt,1,yes,yes,bad
293,<0,24,critical/other_existing_credit,used_car,6419,<100,>=7,2,female_div/dep/mar,none,4,no_known_property,44,none,for_free,2,high_qualif/self_emp/mgmt,2,yes,yes,good
294,>=200,42,critical/other_existing_credit,used_car,4796,<100,>=7,4,male_single,none,4,no_known_property,56,none,for_free,1,skilled,1,none,yes,good
295,no_checking,48,critical/other_existing_credit,business,7629,no_known_savings,>=7,4,male_div/sep,none,2,car,46,bank,own,2,high_qualif/self_emp/mgmt,2,none,yes,good
296,0<=X<200,48,existing_paid,furniture/equipment,9960,<100,<1,1,female_div/dep/mar,none,2,car,26,none,own,1,skilled,1,yes,yes,bad
297,no_checking,12,existing_paid,used_car,4675,no_known_savings,<1,1,female_div/dep/mar,none,4,car,20,none,rent,1,skilled,1,none,yes,good
298,no_checking,10,existing_paid,new_car,1287,no_known_savings,>=7,4,male_single,co_applicant,2,life_insurance,45,none,own,1,unskilled_resident,1,none,no,good
299,no_checking,18,existing_paid,furniture/equipment,2515,<100,1<=X<4,3,male_single,none,4,real_estate,43,none,own,1,skilled,1,yes,yes,good
300,0<=X<200,21,critical/other_existing_credit,furniture/equipment,2745,>=1000,4<=X<7,3,male_single,none,2,car,32,none,own,2,skilled,1,yes,yes,good
301,no_checking,6,existing_paid,new_car,672,<100,unemployed,1,female_div/dep/mar,none,4,real_estate,54,none,own,1,unemp/unskilled_non_res,1,yes,yes,good
302,0<=X<200,36,no_credits/all_paid,radio/tv,3804,<100,1<=X<4,4,female_div/dep/mar,none,1,car,42,none,own,1,skilled,1,yes,yes,bad
303,>=200,24,critical/other_existing_credit,new_car,1344,no_known_savings,4<=X<7,4,male_single,none,2,real_estate,37,bank,own,2,unskilled_resident,2,none,yes,bad
304,<0,10,critical/other_existing_credit,new_car,1038,<100,4<=X<7,4,male_single,co_applicant,3,life_insurance,49,none,own,2,skilled,1,yes,yes,good
305,no_checking,48,critical/other_existing_credit,new_car,10127,500<=X<1000,1<=X<4,2,male_single,none,2,no_known_property,44,bank,for_free,1,skilled,1,none,yes,bad
306,no_checking,6,existing_paid,furniture/equipment,1543,>=1000,1<=X<4,4,male_div/sep,none,2,real_estate,33,none,own,1,skilled,1,none,yes,good
307,no_checking,30,existing_paid,used_car,4811,no_known_savings,4<=X<7,2,female_div/dep/mar,none,4,life_insurance,24,stores,rent,1,unskilled_resident,1,none,yes,good
308,<0,12,existing_paid,radio/tv,727,100<=X<500,<1,4,male_mar/wid,none,3,no_known_property,33,none,own,1,unskilled_resident,1,yes,yes,bad
309,0<=X<200,8,existing_paid,furniture/equipment,1237,<100,1<=X<4,3,female_div/dep/mar,none,4,real_estate,24,none,own,1,skilled,1,none,yes,bad
310,0<=X<200,9,existing_paid,new_car,276,<100,1<=X<4,4,male_mar/wid,none,4,real_estate,22,none,rent,1,unskilled_resident,1,none,yes,good
311,0<=X<200,48,existing_paid,other,5381,no_known_savings,unemployed,3,male_single,none,4,no_known_property,40,bank,for_free,1,unemp/unskilled_non_res,1,yes,yes,good
312,no_checking,24,existing_paid,furniture/equipment,5511,100<=X<500,1<=X<4,4,male_single,none,1,car,25,stores,own,1,skilled,1,none,yes,good
313,>=200,24,existing_paid,furniture/equipment,3749,<100,<1,2,female_div/dep/mar,none,4,car,26,none,own,1,skilled,1,none,yes,good
314,0<=X<200,12,existing_paid,new_car,685,<100,4<=X<7,2,male_mar/wid,none,3,car,25,bank,own,1,unskilled_resident,1,none,yes,bad
315,>=200,4,existing_paid,new_car,1494,no_known_savings,<1,1,male_single,none,2,real_estate,29,none,own,1,unskilled_resident,2,none,no,good
316,<0,36,all_paid,furniture/equipment,2746,<100,>=7,4,male_single,none,4,car,31,bank,own,1,skilled,1,none,yes,bad
317,<0,12,existing_paid,furniture/equipment,708,<100,1<=X<4,2,male_single,guarantor,3,life_insurance,38,none,own,1,unskilled_resident,2,none,yes,good
318,0<=X<200,24,existing_paid,furniture/equipment,4351,no_known_savings,1<=X<4,1,female_div/dep/mar,none,4,life_insurance,48,none,own,1,unskilled_resident,1,yes,yes,good
319,no_checking,12,critical/other_existing_credit,education,701,<100,1<=X<4,4,male_single,none,2,car,32,none,own,2,skilled,1,none,yes,good
320,<0,15,delayed_previously,furniture/equipment,3643,<100,>=7,1,female_div/dep/mar,none,4,life_insurance,27,none,own,2,unskilled_resident,1,none,yes,good
321,0<=X<200,30,critical/other_existing_credit,new_car,4249,<100,unemployed,4,male_mar/wid,none,2,car,28,none,own,2,high_qualif/self_emp/mgmt,1,none,yes,bad
322,<0,24,existing_paid,radio/tv,1938,<100,<1,4,male_div/sep,none,3,life_insurance,32,none,own,1,skilled,1,none,yes,bad
323,<0,24,existing_paid,used_car,2910,<100,4<=X<7,2,male_single,none,1,no_known_property,34,none,for_free,1,high_qualif/self_emp/mgmt,1,yes,yes,good
324,<0,18,existing_paid,furniture/equipment,2659,>=1000,1<=X<4,4,male_single,none,2,car,28,none,own,1,skilled,1,none,yes,good
325,no_checking,18,critical/other_existing_credit,new_car,1028,<100,1<=X<4,4,female_div/dep/mar,none,3,real_estate,36,none,own,2,skilled,1,none,yes,good
326,<0,8,critical/other_existing_credit,new_car,3398,<100,4<=X<7,1,male_single,none,4,real_estate,39,none,own,2,unskilled_resident,1,none,no,good
327,no_checking,12,critical/other_existing_credit,furniture/equipment,5801,no_known_savings,>=7,2,male_single,none,4,life_insurance,49,none,rent,1,skilled,1,yes,yes,good
328,no_checking,24,existing_paid,new_car,1525,>=1000,4<=X<7,4,female_div/dep/mar,none,3,car,34,none,own,1,skilled,2,yes,yes,good
329,>=200,36,existing_paid,radio/tv,4473,<100,>=7,4,male_single,none,2,car,31,none,own,1,skilled,1,none,yes,good
330,0<=X<200,6,existing_paid,radio/tv,1068,<100,>=7,4,male_single,none,4,car,28,none,own,1,skilled,2,none,yes,good
331,<0,24,critical/other_existing_credit,used_car,6615,<100,unemployed,2,male_single,none,4,no_known_property,75,none,for_free,2,high_qualif/self_emp/mgmt,1,yes,yes,good
332,no_checking,18,critical/other_existing_credit,education,1864,100<=X<500,1<=X<4,4,female_div/dep/mar,none,2,real_estate,30,none,own,2,skilled,1,none,yes,bad
333,0<=X<200,60,existing_paid,new_car,7408,100<=X<500,<1,4,female_div/dep/mar,none,2,life_insurance,24,none,own,1,high_qualif/self_emp/mgmt,1,none,yes,bad
334,no_checking,48,critical/other_existing_credit,used_car,11590,100<=X<500,1<=X<4,2,female_div/dep/mar,none,4,car,24,bank,rent,2,unskilled_resident,1,none,yes,bad
335,<0,24,no_credits/all_paid,furniture/equipment,4110,<100,>=7,3,male_single,none,4,no_known_property,23,bank,rent,2,skilled,2,none,yes,bad
336,<0,6,critical/other_existing_credit,furniture/equipment,3384,<100,1<=X<4,1,male_div/sep,none,4,real_estate,44,none,rent,1,high_qualif/self_emp/mgmt,1,yes,yes,bad
337,0<=X<200,13,existing_paid,radio/tv,2101,<100,<1,2,female_div/dep/mar,guarantor,4,life_insurance,23,none,own,1,unskilled_resident,1,none,yes,good
338,<0,15,existing_paid,domestic_appliance,1275,no_known_savings,1<=X<4,4,female_div/dep/mar,none,2,car,24,none,rent,1,skilled,1,none,yes,bad
339,<0,24,existing_paid,furniture/equipment,4169,<100,1<=X<4,4,male_single,none,4,life_insurance,28,none,own,1,skilled,1,none,yes,good
340,0<=X<200,10,existing_paid,furniture/equipment,1521,<100,1<=X<4,4,male_div/sep,none,2,car,31,none,own,1,unskilled_resident,1,none,yes,good
341,0<=X<200,24,critical/other_existing_credit,education,5743,<100,<1,2,female_div/dep/mar,none,4,no_known_property,24,none,for_free,2,skilled,1,yes,yes,good
342,<0,21,existing_paid,furniture/equipment,3599,<100,4<=X<7,1,female_div/dep/mar,none,4,car,26,none,rent,1,unskilled_resident,1,none,yes,good
343,0<=X<200,18,existing_paid,radio/tv,3213,500<=X<1000,<1,1,male_mar/wid,none,3,real_estate,25,none,rent,1,skilled,1,none,yes,good
344,0<=X<200,18,existing_paid,business,4439,<100,>=7,1,male_single,co_applicant,1,real_estate,33,bank,own,1,high_qualif/self_emp/mgmt,1,yes,yes,good
345,>=200,10,existing_paid,new_car,3949,<100,<1,1,male_single,guarantor,1,life_insurance,37,none,own,1,unskilled_resident,2,none,yes,good
346,no_checking,15,critical/other_existing_credit,radio/tv,1459,<100,1<=X<4,4,female_div/dep/mar,none,2,car,43,none,own,1,unskilled_resident,1,none,yes,good
347,0<=X<200,13,critical/other_existing_credit,radio/tv,882,<100,<1,4,male_single,guarantor,4,real_estate,23,none,own,2,skilled,1,none,yes,good
348,0<=X<200,24,existing_paid,radio/tv,3758,500<=X<1000,unemployed,1,female_div/dep/mar,none,4,no_known_property,23,none,rent,1,unemp/unskilled_non_res,1,none,yes,good
349,no_checking,6,delayed_previously,business,1743,100<=X<500,1<=X<4,1,male_single,none,2,real_estate,34,none,own,2,unskilled_resident,1,none,yes,good
350,0<=X<200,9,critical/other_existing_credit,education,1136,>=1000,>=7,4,male_single,none,3,no_known_property,32,none,for_free,2,skilled,2,none,yes,bad
351,no_checking,9,existing_paid,domestic_appliance,1236,<100,<1,1,female_div/dep/mar,none,4,real_estate,23,none,rent,1,skilled,1,yes,yes,good
352,0<=X<200,9,existing_paid,furniture/equipment,959,<100,1<=X<4,1,female_div/dep/mar,none,2,car,29,none,own,1,skilled,1,none,no,bad
353,no_checking,18,critical/other_existing_credit,used_car,3229,no_known_savings,unemployed,2,male_single,none,4,no_known_property,38,none,own,1,high_qualif/self_emp/mgmt,1,yes,yes,good
354,<0,12,no_credits/all_paid,radio/tv,6199,<100,1<=X<4,4,male_single,none,2,life_insurance,28,none,rent,2,skilled,1,yes,yes,bad
355,no_checking,10,existing_paid,education,727,500<=X<1000,>=7,4,male_single,none,4,no_known_property,46,none,for_free,1,skilled,1,yes,yes,good
356,0<=X<200,24,existing_paid,new_car,1246,<100,<1,4,male_single,none,2,real_estate,23,stores,own,1,unskilled_resident,1,none,yes,bad
357,no_checking,12,critical/other_existing_credit,radio/tv,2331,no_known_savings,>=7,1,male_single,co_applicant,4,real_estate,49,none,own,1,skilled,1,yes,yes,good
358,no_checking,36,delayed_previously,radio/tv,4463,<100,1<=X<4,4,male_single,none,2,car,26,none,own,2,high_qualif/self_emp/mgmt,1,yes,yes,bad
359,no_checking,12,existing_paid,radio/tv,776,<100,1<=X<4,4,male_mar/wid,none,2,real_estate,28,none,own,1,skilled,1,none,yes,good
